"Taxon","Database","Reference","Country","Population","Scarification","Stratification","GA3","Tmean","Alternating","Light","Germinated","Germinable"
"Agrostis capillaris","SylvanSeeds","Thompson, K. (1989). ""A Comparative Study of Germination Responses to High Irradiance Light."" Annals of Botany 63(1): 159-162.","UK","Plymouth, UK",0,0,0,15,0,1,21,200
"Agrostis capillaris","SylvanSeeds","Thompson, K. (1989). ""A Comparative Study of Germination Responses to High Irradiance Light."" Annals of Botany 63(1): 159-162.","UK","Plymouth, UK",0,0,0,15,1,1,86,100
"Agrostis castellana","Enscobase","RBGK","France","K_67072",0,0,0,21,0,1,34,39
"Agrostis castellana","Enscobase","RBGK","Italy","K_12533",0,0,0,20,0,1,20,20
"Agrostis castellana","Enscobase","RBGK","Italy","K_12533",0,0,0,21,0,1,117,120
"Agrostis castellana","SOSPRADERAS","SOSPRADERAS","Portugal","SOS175",0,0,0,9,1,1,55,96
"Agrostis castellana","SOSPRADERAS","SOSPRADERAS","Portugal","SOS175",0,0,0,17,1,1,56,92
"Agrostis castellana","SOSPRADERAS","SOSPRADERAS","Portugal","SOS175",0,0,0,25,1,1,60,99
"Agrostis castellana","SOSPRADERAS","SOSPRADERAS","Portugal","SOS175",0,0,1,9,1,1,46,95
"Agrostis castellana","SOSPRADERAS","SOSPRADERAS","Portugal","SOS175",0,0,1,17,1,1,63,90
"Agrostis castellana","SOSPRADERAS","SOSPRADERAS","Portugal","SOS175",0,0,1,25,1,1,59,99
"Alchemilla xanthochlora","Enscobase","RBGK","Turkey","K_27908",0,0,1,21,1,1,66,85
"Alchemilla xanthochlora","Enscobase","RBGK","UK","K_138585",0,0,1,21,1,1,12,16
"Anthemis arvensis","Enscobase","Geneva","Switzerland","G_20018026",0,0,0,6,0,0,0,50
"Anthemis arvensis","Enscobase","Geneva","Switzerland","G_20018026",0,0,0,14.66666667,1,1,0,50
"Anthemis arvensis","Enscobase","Geneva","Switzerland","G_20018026",0,0,0,16,0,0,20,50
"Anthemis arvensis","Enscobase","Geneva","Switzerland","G_20018026",0,0,0,20,0,1,22,100
"Anthemis arvensis","Enscobase","RBGK","UK","K_122490",1,1,0,26,0,1,7,8
"Anthoxanthum odoratum","Enscobase","PAVIA","Italy","PAV_2VA",0,0,0,20,0,1,16,16
"Anthoxanthum odoratum","Enscobase","PAVIA","Italy","PAV_88PV",0,0,0,20,0,1,44,44
"Anthoxanthum odoratum","Enscobase","RBGK","France","K_63063",0,0,0,16,0,1,32,40
"Anthoxanthum odoratum","Enscobase","RBGK","Greece","K_25029",0,0,0,20,0,1,20,20
"Anthoxanthum odoratum","Enscobase","RBGK","Greece","K_25029",0,0,0,21,0,1,175,195
"Anthoxanthum odoratum","Enscobase","RBGK","Greece","K_25063",0,0,0,20,0,1,40,50
"Anthoxanthum odoratum","Enscobase","RBGK","Greece","K_25063",0,0,0,21,0,1,128,150
"Anthoxanthum odoratum","Enscobase","RBGK","Greece","K_25063",0,0,0,25,0,1,18,20
"Anthoxanthum odoratum","Enscobase","RBGK","Greece","K_25063",1,0,0,20,0,1,14,20
"Anthoxanthum odoratum","Enscobase","RBGK","Greece","K_25410",0,0,0,20,0,1,19,20
"Anthoxanthum odoratum","Enscobase","RBGK","Greece","K_25410",0,0,0,21,0,1,132,140
"Anthoxanthum odoratum","Enscobase","RBGK","Greece","K_51541",0,0,0,10,0,1,16,20
"Anthoxanthum odoratum","Enscobase","RBGK","Greece","K_51541",0,0,0,11,0,1,58,68
"Anthoxanthum odoratum","Enscobase","RBGK","UK","K_17114",0,0,0,15,0,1,41,42
"Anthoxanthum odoratum","Enscobase","RBGK","UK","K_17114",0,0,0,16,0,1,90,94
"Anthoxanthum odoratum","Enscobase","RBGK","UK","K_411044",0,0,0,15,0,1,18,20
"Anthoxanthum odoratum","Enscobase","RBGK","UK","K_411044",0,0,0,15,1,1,20,20
"Anthoxanthum odoratum","Enscobase","RBGK","UK","K_411044",0,0,0,20,0,1,19,20
"Anthoxanthum odoratum","Enscobase","RBGK","UK","K_49502",0,0,0,15,0,1,19,20
"Anthoxanthum odoratum","Enscobase","RBGK","UK","K_49502",0,0,0,16,0,1,68,70
"Anthoxanthum odoratum","Enscobase","RBGK","UK","K_9564",0,1,0,15,1,1,12,16
"Anthoxanthum odoratum","Enscobase","RBGK","UK","K_9564",0,1,0,16,1,1,10,10
"Anthoxanthum odoratum","SOSPRADERAS","SOSPRADERAS","France","SOS199",0,0,0,17,1,1,65,73
"Anthoxanthum odoratum","SOSPRADERAS","SOSPRADERAS","France","SOS199",0,0,1,17,1,1,59,65
"Anthoxanthum odoratum","SOSPRADERAS","SOSPRADERAS","Portugal","SOS166",0,0,0,17,1,1,30,88
"Anthoxanthum odoratum","SOSPRADERAS","SOSPRADERAS","Portugal","SOS166",0,0,1,17,1,1,34,98
